Delay X Y R Y
1500000 -4.7684E-7 0 5.2929E-5 8.5831E-6
1510000 -4.7684E-7 0 3.4809E-5 2.718E-5
1520000 -4.7684E-7 -4.7684E-7 6.342E-5 5.6744E-5
1530000 0 0 6.9142E-5 6.7711E-5
1539999.9 0 0 1.955E-5 -7.1526E-6
1549999.9 0 0 7.0096E-5 -7.0572E-5
1559999.9 -4.7684E-7 0 4.7684E-5 -4.3392E-5
1569999.9 0 0 3.2902E-5 3.3856E-5
1579999.9 0 0 8.5831E-6 -5.7221E-6
1589999.9 0 0 4.3869E-5 4.3869E-5
1599999.9 0 0 7.7248E-5 7.0572E-5
1609999.8 -4.7684E-7 0 0.00011587 0.00010586
1619999.8 0 0 9.1076E-5 6.8665E-5
1629999.8 0 0 0.00010586 -1.6689E-5
1639999.8 0 0 0.00011683 -6.6758E-5
1649999.8 -4.7684E-7 0 5.7698E-5 -5.3883E-5
1659999.8 0 0 6.5327E-5 -3.0518E-5
1669999.8 0 0 4.0531E-5 2.7657E-5
1679999.7 0 0 6.7235E-5 5.3883E-5
1689999.7 0 0 9.2984E-5 2.2888E-5
1699999.7 0 0 8.9646E-5 1.4305E-5
1709999.7 0 0 4.6253E-5 -2.718E-5
1719999.7 0 0 6.7235E-5 -4.9115E-5
1729999.7 0 0 6.0082E-5 3.4333E-5
1739999.6 0 0 7.391E-5 6.8665E-5
1749999.6 0 0 3.9101E-5 3.8147E-6
1759999.6 0 0 2.9564E-5 -2.6226E-5
1769999.6 -4.7684E-7 0 3.0518E-5 1.5259E-5
1779999.6 -4.7684E-7 0 0.0001111 -8.5831E-6
1789999.6 0 0 0.00012016 -4.3392E-5
1799999.6 0 0 3.0041E-5 -1.9074E-5
1809999.5 0 0 1.5736E-5 1.6213E-5
1819999.5 0 0 4.4823E-5 4.0531E-5
1829999.5 0 0 2.3842E-5 1.0967E-5
1839999.5 0 0 4.2439E-5 1.1921E-5
1849999.5 0 0 1.3828E-5 2.861E-6
1859999.5 0 0 1.7166E-5 -1.5736E-5
1869999.4 0 0 2.0027E-5 -3.3379E-6
1879999.4 0 0 3.1472E-5 -3.2902E-5
1889999.4 -4.7684E-7 0 5.1976E-5 -2.6703E-5
1899999.4 0 0 1.4782E-5 -1.4782E-5
1909999.4 0 0 6.7711E-5 -4.673E-5
1919999.4 -4.7684E-7 0 4.2439E-5 -1.7166E-5
1929999.4 -4.7684E-7 0 5.9605E-5 2.8134E-5
1939999.3 -4.7684E-7 0 0.00010729 1.8597E-5
1949999.3 0 0 7.8202E-5 2.5273E-5
1959999.3 0 0 7.5818E-5 2.7657E-5
1969999.3 -4.7684E-7 0 3.7194E-5 1.6689E-5
1979999.3 0 0 4.53E-5 4.4823E-5
1989999.3 0 0 5.0545E-5 1.1444E-5
1999999.2 -4.7684E-7 0 4.0531E-5 -1.6213E-5
2009999.2 -4.7684E-7 0 5.9128E-5 3.2425E-5
2019999.2 0 0 4.7684E-5 2.3365E-5
2029999.2 0 0 4.673E-5 3.5286E-5
2039999.2 0 0 4.7684E-5 9.5368E-7
2049999.2 0 0 4.8638E-5 -4.9591E-5
2059999.2 0 0 2.6703E-5 -2.1458E-5
2069999.1 -4.7684E-7 0 1.955E-5 -3.3379E-6
2079999.1 0 0 2.8134E-5 2.7657E-5
2089999.1 0 0 2.3365E-5 -1.0491E-5
2099999.1 0 -4.7684E-7 1.3828E-5 -1.4305E-6
2109999.1 0 0 6.3897E-5 4.53E-5
2119999.1 0 0 5.2929E-5 2.8134E-5
2129999 0 0 5.0545E-5 3.624E-5
2139999 0 0 9.1076E-5 3.8624E-5
2149999 0 0 4.53E-5 9.5368E-7
2159999 0 0 2.0981E-5 1.6689E-5
2169999 0 0 5.4837E-5 4.8638E-5
2179999 -4.7684E-7 0 9.5368E-5 7.248E-5
2189999 0 0 7.391E-5 2.5273E-5
2199998.9 0 0 7.4864E-5 3.8624E-5
2209998.9 0 0 0.00012875 5.5313E-5
2219998.9 0 0 0.000103 4.2916E-6
2229998.9 0 0 5.3883E-5 9.5368E-7
2239998.9 0 0 6.9142E-5 2.8134E-5
2249998.9 0 0 3.3379E-5 2.9087E-5
2259998.8 -4.7684E-7 0 3.4333E-5 1.4305E-5
2269998.8 0 0 7.8202E-5 -1.7166E-5
2279998.8 0 0 8.7262E-5 -3.3379E-6
2289998.8 0 0 0.00010443 -9.06E-6
2299998.8 0 0 7.7248E-5 2.3842E-5
2309998.8 0 0 6.1989E-5 4.9591E-5
2319998.8 0 0 2.1935E-5 -9.5368E-7
2329998.7 0 0 4.4346E-5 -4.2439E-5
2339998.7 0 0 1.1921E-5 -1.0491E-5
2349998.7 -4.7684E-7 0 6.3897E-5 -4.7684E-6
2359998.7 0 0 8.8692E-5 -3.624E-5
2369998.7 0 0 4.1962E-5 -2.9087E-5
2379998.7 0 0 2.6226E-5 2.1935E-5
2389998.7 0 0 9.2507E-5 1.5259E-5
2399998.6 0 0 0.0001359 -4.9591E-5
2409998.6 -4.7684E-7 0 0.00011015 -3.6717E-5
2419998.6 0 0 0.00011397 -2.9564E-5
2429998.6 0 0 0.00010157 -1.5259E-5
2439998.6 0 0 0.00013733 5.2452E-6
2449998.6 -4.7684E-7 0 0.00011253 -2.9087E-5
2459998.5 -4.7684E-7 0 5.9605E-5 -2.3842E-6
2469998.5 0 0 9.7275E-5 1.1921E-5
2479998.5 0 0 6.5804E-5 -1.5259E-5
2489998.5 -4.7684E-7 0 2.861E-6 -2.3842E-6
2499998.5 0 0 4.2916E-5 3.1948E-5
2509998.5 0 0 6.2466E-5 -1.812E-5
2519998.5 0 0 5.2929E-5 -4.7684E-5
2529998.4 0 0 5.3883E-5 -3.1472E-5
2539998.4 0 0 4.6253E-5 -4.1008E-5
2549998.4 -4.7684E-7 0 1.2398E-5 -2.3842E-6
2559998.4 -4.7684E-7 0 5.436E-5 4.1962E-5
2569998.4 0 0 7.1049E-5 2.0981E-5
2579998.4 0 0 5.3406E-5 4.0531E-5
2589998.3 0 0 7.1526E-5 5.4837E-5
2599998.3 0 0 6.9619E-5 -8.5831E-6
2609998.3 0 0 7.1526E-5 -6.0082E-5
2619998.3 0 0 5.8651E-5 -5.7698E-5
2629998.3 0 0 2.3365E-5 -1.1444E-5
2639998.3 0 0 6.2943E-5 2.861E-5
2649998.3 0 0 4.3869E-5 -5.7221E-6
2659998.2 0 0 1.2875E-5 -9.06E-6
1500000 0 0 8.2493E-5 6.2466E-5
1510000 -4.7684E-7 0 5.9605E-5 1.1921E-5
1520000 -4.7684E-7 0 2.9564E-5 -2.9564E-5
1530000 0 0 4.0055E-5 1.8597E-5
1539999.9 0 0 5.7698E-5 5.1022E-5
1549999.9 -4.7684E-7 0 3.4333E-5 3.4333E-5
1559999.9 0 0 3.2902E-5 2.5273E-5
1569999.9 0 0 7.2003E-5 -1.5736E-5
1579999.9 0 0 0.000103 -8.8215E-5
1589999.9 0 0 0.00012827 -7.7725E-5
1599999.9 0 0 0.00022507 -0.00012779
1609999.8 0 0 0.00019837 -0.00012541
1619999.8 -4.7684E-7 0 1.8597E-5 1.6213E-5
1629999.8 0 0 0.00013256 0.00011587
1639999.8 0 0 2.9087E-5 1.0967E-5
1649999.8 0 0 5.8174E-5 -5.9128E-5
1659999.8 0 0 0.00012398 -0.00010395
1669999.8 0 0 7.3433E-5 -7.1049E-5
1679999.7 0 0 1.7643E-5 1.8597E-5
1689999.7 -4.7684E-7 0 4.7207E-5 3.6717E-5
1699999.7 0 0 0.00013733 0.00013113
