Delay X Y R DEG
1500000 0 0 0.00043535 2.5391
1510000 0 0 0.00043249 3.6172
1520000 0 0 0.00042486 0.57813
1530000 -4.7684E-7 0 0.00046587 2.4922
1539999.9 0 0 0.00047922 11.18
1549999.9 0 0 0.0003829 19.031
1559999.9 -4.7684E-7 0 0.00028992 9.9532
1569999.9 0 0 0.00031424 1.75
1579999.9 0 0 0.00037098 3.586
1589999.9 0 0 0.00035477 11.649
1599999.9 0 0 0.00033999 1.1719
1609999.8 0 0 0.00039721 3.9375
1619999.8 -4.7684E-7 0 0.00037956 7.9766
1629999.8 0 0 0.00038815 10.57
1639999.8 0 0 0.00039006 10.094
1649999.8 -4.7684E-7 0 0.00033617 4.4922
1659999.8 -4.7684E-7 0 0.0003891 -0.054688
1669999.8 0 0 0.00045347 -0.50782
1679999.7 0 0 0.00050497 4.4141
1689999.7 -4.7684E-7 0 0.00052453 9.586
1699999.7 -4.7684E-7 0 0.00051499 3.5156
1709999.7 -4.7684E-7 0 0.00049115 6.6875
1719999.7 0 0 0.00046921 5.7657
1729999.7 0 0 0.00047064 5.1641
1739999.6 0 0 0.00043059 6.5
1749999.6 0 0 0.00043392 4.5235
1759999.6 0 0 0.00044155 8.1719
1769999.6 -4.7684E-7 0 0.00042725 12.328
1779999.6 -4.7684E-7 0 0.00042725 15.383
1789999.6 0 0 0.00039864 15.125
1799999.6 0 0 0.00042629 0.4375
1809999.5 -4.7684E-7 0 0.00048876 -2.1485
1819999.5 0 0 0.00050259 -0.57032
1829999.5 0 0 0.00047589 -4.0547
1839999.5 0 0 0.00049878 2.1016
1849999.5 0 0 0.00048924 8.1641
1859999.5 -4.7684E-7 0 0.00043917 1.1719
1869999.4 0 0 0.00050831 -0.11719
1879999.4 0 0 0.0005126 4.3672
1889999.4 0 0 0.00046158 2.1406
1899999.4 -4.7684E-7 0 0.00042439 4.5625
1909999.4 0 0 0.0003829 1.6953
1919999.4 0 0 0.00034046 0.78125
1929999.4 0 -4.7684E-7 0.00043488 -5.1094
1939999.3 0 0 0.00051308 -5.461
1949999.3 0 0 0.00059319 -3.1875
1959999.3 0 0 0.00056601 1.2813
1969999.3 0 0 0.0005827 5.4766
1979999.3 0 0 0.00051213 9.586
1989999.3 0 0 0.00048256 5.0625
1999999.2 0 0 0.00044632 4.0625
2009999.2 -4.7684E-7 0 0.00046683 0.73438
2019999.2 0 0 0.0004158 -2.211
2029999.2 -4.7684E-7 0 0.00048495 -11.008
2039999.2 0 0 0.00051689 2.5078
2049999.2 0 0 0.00047827 13.492
2059999.2 -4.7684E-7 0 0.00043726 5.1407
2069999.1 -4.7684E-7 0 0.00052453 -1.5625
2079999.1 0 0 0.00052786 3.3281
2089999.1 0 0 0.00047493 5.711
2099999.1 0 0 0.00050354 7.3985
2109999.1 0 0 0.00057364 -2.0547
2119999.1 0 0 0.00058985 -2.1797
2129999 0 0 0.00055981 -4.0235
2139999 0 0 0.00059081 -3.1094
2149999 -4.7684E-7 0 0.0006609 -2.9453
2159999 0 0 0.00068522 0.30469
2169999 -4.7684E-7 -4.7684E-7 0.00070525 1.6172
2179999 -4.7684E-7 0 0.00065947 6.0235
2189999 0 0 0.00062132 1.4688
2199998.9 0 0 0.00064564 1.2969
2209998.9 0 0 0.00064326 5.1328
2219998.9 0 0 0.00064898 10.078
2229998.9 0 0 0.00061703 5.3828
2239998.9 0 0 0.00063992 9.9219
2249998.9 0 0 0.00067425 11.375
2259998.8 0 0 0.00076294 10.719
2269998.8 0 0 0.00067711 7.7969
2279998.8 0 0 0.00053263 -6.0625
2289998.8 0 0 0.00054598 -14.367
2299998.8 0 0 0.00061274 -6.4922
2309998.8 0 0 0.00066662 -3.6563
2319998.8 0 0 0.00075245 -1.3985
2329998.7 -4.7684E-7 0 0.00079775 -3.875
2339998.7 -4.7684E-7 0 0.00083352 -1.3125
2349998.7 0 0 0.00069333 5.4532
2359998.7 0 0 0.00062132 0.023438
2369998.7 0 0 0.00070525 2.2344
2379998.7 0 0 0.00074625 12.688
2389998.7 -4.7684E-7 0 0.00065995 12.774
2399998.6 0 -4.7684E-7 0.00061894 1.5313
2409998.6 0 0 0.00064421 3.3828
2419998.6 0 0 0.00061751 3.7735
2429998.6 0 0 0.00058985 6.9219
2439998.6 0 0 0.00062371 2.586
2449998.6 0 0 0.00065566 0.71875
2459998.5 -4.7684E-7 0 0.00071192 -3.8828
2469998.5 -4.7684E-7 0 0.00077057 0.28906
2479998.5 -4.7684E-7 0 0.00075007 0.10156
2489998.5 0 0 0.00074149 2.8125
2499998.5 0 0 0.00075818 5.1797
2509998.5 0 0 0.00079155 12.672
2519998.5 -4.7684E-7 0 0.00078297 13.484
2529998.4 0 0 0.00075055 13.375
2539998.4 0 0 0.00078106 11.891
2549998.4 0 0 0.00074721 13.469
2559998.4 0 0 0.0006876 8.2266
2569998.4 -4.7684E-7 0 0.00064183 2.9453
2579998.4 0 0 0.00063849 6.7891
2589998.3 0 0 0.00058365 5.0703
2599998.3 0 0 0.00058937 2.75
2609998.3 -4.7684E-7 0 0.00061131 0.77344
2619998.3 0 0 0.00059843 2.5781
2629998.3 0 0 0.00068713 7.5469
2639998.3 0 0 0.00072098 12.117
2649998.3 0 0 0.00075674 9.336
2659998.2 0 0 0.00072957 8.5235
1500000 0 0 0.00042629 0.79688
1510000 0 0 0.0004201 -2.1016
1520000 0 0 0.00042248 -2.2578
1530000 -4.7684E-7 0 0.00045538 2.6719
1539999.9 -4.7684E-7 0 0.000453 7.3672
1549999.9 -4.7684E-7 0 0.0004077 9.0001
1559999.9 0 0 0.00031853 15.641
1569999.9 -4.7684E-7 0 0.00029564 11.961
1579999.9 0 0 0.0003376 8.0548
