Delay X Y R DEG
1500000 -4.7684E-7 0 0.0022278 18.477
1510000 -4.7684E-7 0 0.0021796 17.008
1520000 -4.7684E-7 0 0.0022025 15.563
1530000 0 0 0.0022521 16.024
1539999.9 0 0 0.002235 17.43
1549999.9 0 0 0.0021515 19.57
1559999.9 0 0 0.0021267 17.352
1569999.9 -4.7684E-7 0 0.002266 18.031
1579999.9 -4.7684E-7 0 0.0023542 22.594
1589999.9 -4.7684E-7 0 0.0023198 24.203
1599999.9 0 0 0.0022969 22.555
1609999.8 -4.7684E-7 0 0.0023408 22.07
1619999.8 0 -4.7684E-7 0.0023384 21.508
1629999.8 0 0 0.0022893 20.5
1639999.8 0 0 0.0023055 19.164
1649999.8 0 0 0.0022812 18.227
1659999.8 0 0 0.0022435 19.266
1669999.8 0 0 0.0022025 19.891
1679999.7 0 0 0.0021982 19.633
1689999.7 -4.7684E-7 0 0.0022626 20.836
1699999.7 0 0 0.0023208 20.461
1709999.7 0 0 0.0023546 20.125
1719999.7 0 0 0.0023608 19.945
1729999.7 0 0 0.002367 19.766
1739999.6 -4.7684E-7 0 0.0023403 17.992
1749999.6 -4.7684E-7 0 0.0023966 18.383
1759999.6 -4.7684E-7 0 0.0024247 19.5
1769999.6 -4.7684E-7 0 0.0024605 18.844
1779999.6 0 0 0.0024686 20.063
1789999.6 0 0 0.0024481 22.11
1799999.6 0 -4.7684E-7 0.0025974 22.078
1809999.5 0 0 0.0026603 23.867
1819999.5 0 0 0.0025473 25.531
1829999.5 -4.7684E-7 0 0.0024476 21.602
1839999.5 0 0 0.0023499 18.82
1849999.5 -4.7684E-7 -4.7684E-7 0.0022869 19.399
1859999.5 0 0 0.0023251 19.078
1869999.4 0 0 0.0024286 18.485
1879999.4 0 0 0.0024934 17.906
1889999.4 0 0 0.002471 18.438
1899999.4 -4.7684E-7 0 0.0024848 17.828
1909999.4 -4.7684E-7 0 0.0025244 17.789
1919999.4 0 0 0.002533 17.61
1929999.4 0 0 0.002554 17.117
1939999.3 -4.7684E-7 0 0.002554 17.156
1949999.3 -4.7684E-7 0 0.0025892 17.492
1959999.3 0 0 0.0026493 17.906
1969999.3 0 0 0.0026989 17.477
1979999.3 0 0 0.0027018 18.102
1989999.3 -4.7684E-7 0 0.0027132 18.899
1999999.2 0 0 0.0027022 17.789
2009999.2 0 0 0.0026813 17.789
2019999.2 0 0 0.0027609 17.914
2029999.2 0 0 0.0027742 17.531
2039999.2 0 0 0.0027142 17.5
2049999.2 0 0 0.0027399 18.656
2059999.2 0 0 0.0027514 18.469
2069999.1 0 0 0.0027337 17.219
2079999.1 -4.7684E-7 0 0.00277 19.43
2089999.1 -4.7684E-7 0 0.0028796 20.492
2099999.1 0 0 0.0028982 19.485
2109999.1 0 0 0.0028758 19.344
2119999.1 0 0 0.0029502 18.664
2129999 0 0 0.0029788 18.586
2139999 0 0 0.0030318 18.664
2149999 0 0 0.0031576 19.031
2159999 0 0 0.0032788 17.922
2169999 -4.7684E-7 0 0.0032158 16.953
2179999 0 0 0.0031176 18.047
2189999 -4.7684E-7 0 0.0031982 18.883
2199998.9 -4.7684E-7 0 0.0032191 16.508
2209998.9 0 0 0.0033069 15.609
2219998.9 -4.7684E-7 0 0.0033283 15.609
2229998.9 -4.7684E-7 0 0.0032754 16.969
2239998.9 0 0 0.0032926 17.547
2249998.9 -4.7684E-7 0 0.0033379 18.539
2259998.8 0 0 0.0034366 18.602
2269998.8 0 0 0.0035567 16.813
2279998.8 0 0 0.0035939 16.055
2289998.8 -4.7684E-7 0 0.003706 17.563
2299998.8 -4.7684E-7 0 0.0038243 19.164
2309998.8 0 0 0.0039511 18.469
2319998.8 -4.7684E-7 0 0.0040131 17.774
2329998.7 0 0 0.0040532 19.149
2339998.7 0 0 0.0041004 20.25
2349998.7 -4.7684E-7 -4.7684E-7 0.0040942 19.219
2359998.7 -4.7684E-7 0 0.0040212 17.695
2369998.7 -4.7684E-7 0 0.0039721 18.633
2379998.7 0 0 0.0038185 19.469
2389998.7 0 0 0.0037852 18.852
2399998.6 0 0 0.0038285 17.149
2409998.6 0 0 0.0039273 16.945
2419998.6 0 0 0.0040989 16.211
2429998.6 0 0 0.0040255 16.828
2439998.6 -4.7684E-7 0 0.0038071 18.313
2449998.6 0 0 0.0037389 20.016
2459998.5 0 0 0.0038395 19.735
2469998.5 0 0 0.0038634 19.742
2479998.5 0 0 0.003913 20.344
2489998.5 0 0 0.0039063 20.524
2499998.5 -4.7684E-7 0 0.0039206 19.899
2509998.5 -4.7684E-7 0 0.0039387 20.32
2519998.5 0 0 0.0039368 20.477
2529998.4 0 -4.7684E-7 0.0037117 20.18
2539998.4 0 0 0.003624 20.164
2549998.4 0 0 0.0036502 21.633
2559998.4 0 0 0.0037022 21.266
2569998.4 -4.7684E-7 0 0.0036121 21.133
2579998.4 0 0 0.003602 21.328
2589998.3 0 0 0.0035005 18.641
2599998.3 0 0 0.0034318 17.055
2609998.3 -4.7684E-7 0 0.0034895 19.422
2619998.3 -4.7684E-7 0 0.0035725 20.016
2629998.3 -4.7684E-7 0 0.0035219 17.625
2639998.3 -4.7684E-7 0 0.0034828 16.57
2649998.3 -4.7684E-7 0 0.0035243 15.695
2659998.2 0 0 0.0034709 17.445
1500000 0 0 0.0025473 21.305
1510000 0 0 0.00241 21.328
1520000 0 -4.7684E-7 0.0022955 20.969
1530000 -4.7684E-7 0 0.0021916 17.766
1539999.9 0 0 0.0022016 19.57
1549999.9 0 0 0.0022225 21.703
1559999.9 0 0 0.0022049 21.195
1569999.9 0 0 0.0022612 19.399
1579999.9 0 0 0.0023065 17.156
1589999.9 0 0 0.0022855 16.469
1599999.9 0 0 0.0023046 15.828
1609999.8 0 0 0.0023685 15.242
1619999.8 -4.7684E-7 0 0.002408 15.828
1629999.8 0 0 0.0024409 18.977
1639999.8 -4.7684E-7 0 0.0023599 18.445
1649999.8 -4.7684E-7 0 0.0023608 16.813
1659999.8 0 0 0.002399 17.633
