Delay X Y R DEG
1500000 0 0 0.0035439 11.758
1501000 0 0 0.0034127 11.109
1502000 -4.7684E-7 0 0.003366 11.328
1503000 0 0 0.0033574 11.789
1504000 0 0 0.0033789 11.461
1505000 0 0 0.0033469 11.195
1506000 0 0 0.0034609 11.813
1507000 0 0 0.0035129 11.945
1507999.9 0 0 0.0035138 11.68
1508999.9 0 0 0.0035196 10.742
1509999.9 0 0 0.0034919 9.9688
1510999.9 0 0 0.0033975 10.453
1511999.9 -4.7684E-7 0 0.0034037 10.203
1512999.9 0 0 0.0034428 9.6407
1513999.9 0 0 0.0034619 10.227
1514999.9 0 0 0.003417 11.117
1515999.9 0 0 0.0034352 11.484
1516999.9 0 0 0.0034242 11.117
1517999.9 0 0 0.0034189 11.25
1518999.9 -4.7684E-7 0 0.0033946 11
1519999.8 -4.7684E-7 0 0.0034123 10.453
1520999.8 0 0 0.0033632 8.8907
1521999.8 0 0 0.0033665 8.0469
1522999.8 0 0 0.0033117 8.4454
1523999.8 0 0 0.0032263 10.352
1524999.8 0 0 0.0032535 10.938
1525999.8 0 0 0.0033798 10.524
1526999.8 0 0 0.0034294 9.9766
1527999.8 0 0 0.0033202 10.016
1528999.8 -4.7684E-7 0 0.0032578 9.8516
1529999.8 -4.7684E-7 0 0.0033779 9.8985
1530999.8 -4.7684E-7 0 0.0034628 10.008
1531999.7 -4.7684E-7 0 0.0034752 10.43
1532999.7 0 0 0.0034585 10.313
1533999.7 0 0 0.0035229 10
1534999.7 0 0 0.0034967 10.172
1535999.7 0 0 0.0034042 10.07
1536999.7 0 0 0.0033345 9.5001
1537999.7 0 0 0.0034023 10.969
1538999.7 0 0 0.0034576 10.656
1539999.7 0 0 0.0035048 10.039
1540999.7 0 0 0.0035238 10.141
1541999.7 0 0 0.0034857 10.539
1542999.7 -4.7684E-7 0 0.0033984 10.805
1543999.6 0 0 0.0032816 10.531
1544999.6 0 0 0.0032892 10.828
1545999.6 0 0 0.0033479 10.399
1546999.6 0 0 0.0033531 9.9766
1547999.6 0 0 0.0033245 9.8516
1548999.6 0 0 0.0033632 9.7501
1549999.6 0 0 0.0034027 9.9298
1550999.6 0 0 0.0034099 10.211
1551999.6 0 0 0.0034251 10.539
1552999.6 -4.7684E-7 0 0.0034762 10.242
1553999.6 0 0 0.0034552 10.281
1554999.6 0 0 0.0034628 10.617
1555999.6 0 0 0.0034933 10.766
1556999.5 -4.7684E-7 0 0.0035129 10.289
1557999.5 -4.7684E-7 0 0.0035477 10.969
1558999.5 0 0 0.0035067 11.117
1559999.5 0 0 0.0034967 10.508
1560999.5 0 0 0.0034447 10.602
1561999.5 -4.7684E-7 0 0.0034323 10.391
1562999.5 -4.7684E-7 0 0.0034466 10.274
1563999.5 0 0 0.0034757 9.8594
1564999.5 0 0 0.0034828 9.7344
1565999.5 0 0 0.0035429 10.711
1566999.5 0 0 0.0035925 11.195
1567999.5 0 0 0.0035458 11.734
1568999.4 0 0 0.00349 11.172
1569999.4 0 0 0.0034099 10.602
1570999.4 0 0 0.0034404 10.649
1571999.4 0 0 0.0035281 11.024
1572999.4 -4.7684E-7 0 0.0036183 11.422
1573999.4 -4.7684E-7 0 0.0035377 11.563
1574999.4 0 0 0.00349 11.359
1575999.4 0 0 0.0035029 10.719
1576999.4 -4.7684E-7 0 0.0035558 10.828
1577999.4 0 0 0.0034886 10.938
1578999.4 -4.7684E-7 0 0.0033851 11.156
1579999.4 -4.7684E-7 0 0.0033636 11.32
1580999.3 0 0 0.0033999 11.57
1581999.3 0 0 0.0034323 11.32
1582999.3 0 0 0.0034299 11.805
1583999.3 0 0 0.0033856 11.32
1584999.3 0 0 0.0034414 10.727
1585999.3 0 0 0.0034991 10.602
1586999.3 0 0 0.0034962 11.508
1587999.3 0 0 0.0035315 12.805
1588999.3 0 0 0.0035472 12.125
1589999.3 0 0 0.0034743 11.109
1590999.3 0 0 0.0034585 10.547
1591999.3 0 0 0.0034347 10.57
1592999.2 0 0 0.003459 10.781
1593999.2 -4.7684E-7 0 0.0035382 10.938
1594999.2 0 0 0.0036288 12.289
1595999.2 0 0 0.0036345 11.922
1596999.2 -4.7684E-7 0 0.0035305 11.359
1597999.2 -4.7684E-7 0 0.0034228 11.352
1598999.2 0 0 0.0034447 10.703
1599999.2 -4.7684E-7 0 0.0034938 10.172
1600999.2 -4.7684E-7 0 0.0034828 10.227
1601999.2 0 0 0.0034647 10.125
1602999.2 -4.7684E-7 0 0.0034299 10.227
1603999.2 0 0 0.0033579 10.008
1604999.1 -4.7684E-7 0 0.003346 9.8673
1605999.1 -4.7684E-7 0 0.0033908 10.094
1606999.1 -4.7684E-7 0 0.0035548 10.899
1607999.1 0 0 0.0035205 10.305
1608999.1 -4.7684E-7 0 0.0034685 9.8673
1609999.1 -4.7684E-7 0 0.0034852 9.9298
1610999.1 0 0 0.0035081 10.211
1611999.1 0 0 0.0034685 10.391
1612999.1 0 0 0.0035029 10.789
1613999.1 0 0 0.0035377 11.297
1614999.1 0 0 0.0035358 11.266
1615999.1 0 0 0.0035625 11.555
1616999.1 0 0 0.0037127 11.82
1617999 0 0 0.0038905 12.922
1618999 0 0 0.0038672 13.008
1619999 0 0 0.0037255 12.313
1620999 0 0 0.0037441 11.516
1621999 0 0 0.0036836 11.164
1622999 0 0 0.0035448 11.242
1623999 0 0 0.0034232 10.992
