Delay X Y R DEG
1500000 -4.7684E-7 0 0.0013342 7.6407
1510000 0 0 0.0013762 8.8907
1520000 0 0 0.0013728 9.1954
1530000 0 0 0.0013876 11.477
1539999.9 0 0 0.0013995 13.797
1549999.9 0 0 0.0013976 14.867
1559999.9 0 0 0.0014286 15.289
1569999.9 0 0 0.0013995 14.008
1579999.9 0 0 0.0013356 8.4766
1589999.9 0 0 0.0014453 4.4297
1599999.9 0 0 0.0014048 5.9922
1609999.8 0 0 0.0013204 7.2344
1619999.8 -4.7684E-7 0 0.0013485 2.5469
1629999.8 0 0 0.0013509 5.8125
1639999.8 0 0 0.0013628 8.4454
1649999.8 0 0 0.0014029 4.3907
1659999.8 0 0 0.0013809 5.4453
1669999.8 0 0 0.0013275 6.211
1679999.7 -4.7684E-7 0 0.0012503 1.6016
1689999.7 -4.7684E-7 0 0.0013223 1.4766
1699999.7 -4.7684E-7 0 0.0016012 5.6641
1709999.7 0 0 0.0017119 5.211
1719999.7 0 0 0.0016489 3.3047
1729999.7 0 0 0.0015788 2.4922
1739999.6 0 0 0.001565 0.76563
1749999.6 0 0 0.0015216 -0.10938
1759999.6 0 0 0.0015216 0.96094
1769999.6 0 0 0.0015264 -0.61719
1779999.6 0 0 0.0015578 1.5938
1789999.6 0 0 0.0014262 4.5235
1799999.6 0 0 0.001339 1.9766
1809999.5 -4.7684E-7 0 0.0013375 1.2344
1819999.5 -4.7684E-7 0 0.0013728 3.0469
1829999.5 0 0 0.0014682 6.8438
1839999.5 0 0 0.0013976 3.461
1849999.5 0 0 0.0013871 -0.46094
1859999.5 -4.7684E-7 0 0.0013914 -2.25
1869999.4 -4.7684E-7 0 0.0013561 -0.39844
1879999.4 0 0 0.0013843 0.92969
1889999.4 0 0 0.0013642 1.0078
1899999.4 0 0 0.0012975 2.5078
1909999.4 -4.7684E-7 0 0.0014596 7.1407
1919999.4 -4.7684E-7 0 0.0015926 6.4844
1929999.4 0 0 0.0016236 6.875
1939999.3 0 0 0.0015049 8.0391
1949999.3 0 0 0.0013538 8.5001
1959999.3 0 0 0.0013609 2.8672
1969999.3 0 0 0.0015335 -0.13281
1979999.3 0 0 0.0015226 1.5391
1989999.3 0 0 0.0015817 2.1563
1999999.2 0 0 0.0016904 4.3907
2009999.2 -4.7684E-7 0 0.0016985 3.0938
2019999.2 0 0 0.0017057 1.2344
2029999.2 0 0 0.0017185 2.7656
2039999.2 -4.7684E-7 0 0.0015812 3.2656
2049999.2 0 0 0.0014887 0.49219
2059999.2 0 -4.7684E-7 0.0015841 -0.125
2069999.1 0 0 0.0015931 -0.28906
2079999.1 0 0 0.0015712 1.1094
