Delay X Y R DEG
1500000 0 -4.7684E-7 0.0032678 -15.258
1510000 -4.7684E-7 0 0.0030122 -12.531
1520000 0 0 0.0030565 -10.156
1530000 0 0 0.0031944 -10.344
1539999.9 0 0 0.0032206 -11.586
1549999.9 0 0 0.0032263 -10.977
1559999.9 0 0 0.0032883 -10.836
1569999.9 0 0 0.0031519 -11.211
1579999.9 -4.7684E-7 0 0.0032449 -8.8673
1589999.9 0 0 0.0033279 -12.258
1599999.9 0 0 0.0032668 -13.156
1609999.8 -4.7684E-7 0 0.0032406 -12.281
1619999.8 0 0 0.0031972 -13.344
1629999.8 -4.7684E-7 0 0.0032869 -11
1639999.8 0 0 0.0032993 -10.836
1649999.8 -4.7684E-7 0 0.0034018 -10.195
1659999.8 -4.7684E-7 0 0.0034595 -15.641
1669999.8 0 0 0.003182 -15.899
1679999.7 0 0 0.0032959 -11.305
1689999.7 -4.7684E-7 0 0.0034752 -14.656
1699999.7 0 0 0.0032206 -13.984
1709999.7 0 0 0.0032182 -12.234
1719999.7 0 0 0.0033698 -12.32
1729999.7 0 0 0.0033279 -14.227
1739999.6 -4.7684E-7 0 0.0034824 -10.805
1749999.6 0 0 0.0037532 -12.383
1759999.6 0 0 0.0036726 -13.297
1769999.6 0 0 0.0035739 -15.289
1779999.6 0 0 0.0034785 -13.063
1789999.6 0 0 0.0036121 -14.141
1799999.6 0 0 0.0033646 -16.813
1809999.5 -4.7684E-7 0 0.0032716 -12.289
1819999.5 0 0 0.0034919 -13.539
1829999.5 0 0 0.0034409 -13.734
1839999.5 0 0 0.0035062 -15.391
1849999.5 0 0 0.0034609 -14.281
1859999.5 0 0 0.0035496 -14.469
1869999.4 0 0 0.0035372 -14.516
1879999.4 0 0 0.0034609 -15.125
1889999.4 0 0 0.0034385 -15.016
1899999.4 0 0 0.0034309 -16.039
1909999.4 0 0 0.0034681 -15.524
1919999.4 0 0 0.0033694 -16.617
1929999.4 0 0 0.0033274 -12.461
1939999.3 -4.7684E-7 0 0.0035234 -13.984
1949999.3 -4.7684E-7 0 0.0034991 -14.156
1959999.3 -4.7684E-7 0 0.0036369 -16.695
1969999.3 -4.7684E-7 0 0.0034018 -17.43
1979999.3 -4.7684E-7 0 0.0033403 -12.359
1989999.3 0 0 0.0034666 -12.313
1999999.2 -4.7684E-7 0 0.0034585 -14.164
2009999.2 -4.7684E-7 0 0.0035272 -14.641
2019999.2 0 0 0.0035472 -17.539
2029999.2 -4.7684E-7 0 0.0035548 -15.516
2039999.2 0 0 0.0038123 -17.07
2049999.2 0 0 0.0036216 -18.211
2059999.2 0 0 0.0036173 -16.57
2069999.1 0 0 0.0034986 -17.024
2079999.1 -4.7684E-7 0 0.0035086 -14.43
2089999.1 0 0 0.0034752 -17.641
2099999.1 0 0 0.0033927 -16.985
2109999.1 0 0 0.0035429 -17.445
2119999.1 0 0 0.0036636 -17.07
2129999 0 0 0.0036059 -16.664
2139999 -4.7684E-7 0 0.0036955 -17.719
2149999 0 0 0.0037079 -18.141
2159999 -4.7684E-7 0 0.0035968 -17.688
2169999 -4.7684E-7 0 0.0037742 -16.93
2179999 -4.7684E-7 0 0.0037065 -20.867
2189999 0 0 0.0033708 -18.719
2199998.9 -4.7684E-7 0 0.0034862 -13.086
2209998.9 -4.7684E-7 0 0.0038572 -14.461
2219998.9 -4.7684E-7 0 0.0038109 -17.93
2229998.9 0 0 0.0037046 -19.227
2239998.9 0 0 0.0037766 -21.289
2249998.9 0 0 0.0038362 -19.422
2259998.8 0 0 0.0037971 -20.031
2269998.8 0 0 0.0036802 -18.438
2279998.8 -4.7684E-7 0 0.0038538 -22.094
2289998.8 -4.7684E-7 0 0.0037036 -24.93
2299998.8 0 0 0.0035606 -21.11
2309998.8 0 0 0.0037165 -20.828
2319998.8 0 0 0.0037503 -21.102
2329998.7 0 0 0.003768 -21.047
2339998.7 0 0 0.0037661 -21.735
2349998.7 0 0 0.0037699 -21.289
2359998.7 0 0 0.0037136 -22.945
2369998.7 0 0 0.0036769 -22.789
2379998.7 0 0 0.003593 -21.375
2389998.7 0 0 0.0036683 -21.805
2399998.6 0 0 0.0038009 -21.188
2409998.6 0 0 0.0038815 -24.219
2419998.6 0 0 0.0035973 -22.016
2429998.6 -4.7684E-7 0 0.0037189 -18.766
2439998.6 -4.7684E-7 0 0.0037232 -21.961
2449998.6 0 0 0.0035434 -20.078
2459998.5 0 0 0.0035863 -20.352
2469998.5 -4.7684E-7 0 0.0035615 -20.485
2479998.5 -4.7684E-7 0 0.0034676 -20.352
2489998.5 0 0 0.00353 -19.617
2499998.5 -4.7684E-7 0 0.0035052 -19.055
2509998.5 0 0 0.0037551 -20.008
2519998.5 0 0 0.0037079 -21.102
2529998.4 0 0 0.0038185 -18.297
2539998.4 -4.7684E-7 0 0.0038676 -20.313
2549998.4 0 0 0.0037642 -20.836
2559998.4 0 0 0.0035882 -20.102
2569998.4 0 0 0.0035806 -20.188
2579998.4 0 0 0.003572 -18.899
2589998.3 -4.7684E-7 0 0.0035029 -19.133
2599998.3 -4.7684E-7 0 0.0036431 -19.586
2609998.3 -4.7684E-7 0 0.0036135 -19.695
2619998.3 -4.7684E-7 0 0.0036049 -18.758
2629998.3 0 0 0.0035415 -18.313
2639998.3 0 0 0.0035448 -18.516
2649998.3 0 0 0.0035558 -18.5
2659998.2 0 0 0.0036049 -18.899
1500000 0 0 0.0031162 -11.125
1510000 0 0 0.0030976 -10.117
1520000 -4.7684E-7 0 0.0031033 -10.766
1530000 -4.7684E-7 0 0.0030689 -10.867
1539999.9 -4.7684E-7 0 0.0031033 -10.984
1549999.9 -4.7684E-7 0 0.003202 -10.836
1559999.9 -4.7684E-7 0 0.0032306 -10.875
1569999.9 0 0 0.0031905 -10.063
1579999.9 0 0 0.0031743 -10.188
1589999.9 0 0 0.0031929 -10.524
1599999.9 0 0 0.0032721 -10.734
1609999.8 -4.7684E-7 0 0.0033899 -11.399
1619999.8 0 0 0.003417 -11.719
1629999.8 0 0 0.0033751 -11.438
1639999.8 0 0 0.0033093 -11.289
1649999.8 0 0 0.0032802 -11.43
1659999.8 -4.7684E-7 0 0.0032807 -11.336
1669999.8 0 0 0.0033002 -12.445
1679999.7 -4.7684E-7 0 0.0032516 -12.609
1689999.7 -4.7684E-7 0 0.0032525 -12.961
1699999.7 -4.7684E-7 0 0.0032525 -12.75
1709999.7 0 0 0.0032668 -12.242
1719999.7 0 0 0.0032749 -12.516
1729999.7 0 0 0.0033431 -13
1739999.6 0 0 0.0033345 -13.141
1749999.6 0 0 0.0033455 -13.164
1759999.6 0 0 0.0032726 -11.859
1769999.6 0 0 0.0034595 -11.984
1779999.6 0 0 0.0034213 -16.195
1789999.6 0 0 0.0032196 -13.406
1799999.6 -4.7684E-7 0 0.0034332 -12.992
1809999.5 0 0 0.0032301 -13.531
1819999.5 0 0 0.0034318 -7.836
1829999.5 -4.7684E-7 0 0.0039306 -9.6641
1839999.5 0 0 0.0040255 -14.477
1849999.5 -4.7684E-7 0 0.0036259 -17.133
1859999.5 -4.7684E-7 0 0.0033345 -12.438
1869999.4 0 0 0.0036268 -12.07
1879999.4 0 0 0.0037542 -17.578
1889999.4 0 0 0.0034142 -18.742
1899999.4 0 0 0.0033322 -13.57
1909999.4 0 0 0.0033245 -13.242
1919999.4 0 0 0.0033245 -14.586
1929999.4 -4.7684E-7 0 0.0032625 -13.5
1939999.3 -4.7684E-7 0 0.0034018 -14.359
1949999.3 -4.7684E-7 0 0.0035677 -14.945
1959999.3 0 0 0.0035606 -15.133
1969999.3 0 0 0.0037489 -15.984
1979999.3 0 0 0.0036278 -21.242
1989999.3 0 0 0.0032845 -22.102
1999999.2 -4.7684E-7 0 0.0032945 -17.664
2009999.2 -4.7684E-7 0 0.0033913 -16.063
2019999.2 0 0 0.0036111 -16.914
2029999.2 -4.7684E-7 0 0.0035191 -18.024
2039999.2 -4.7684E-7 0 0.0036016 -16.016
2049999.2 0 0 0.0036278 -16.711
2059999.2 0 0 0.0036512 -17.328
2069999.1 0 0 0.0036035 -17.578
2079999.1 0 0 0.0035305 -17.602
2089999.1 -4.7684E-7 0 0.0035114 -17.18
2099999.1 -4.7684E-7 0 0.0035658 -16.547
2109999.1 0 0 0.0035682 -15.992
2119999.1 0 0 0.003551 -16.375
2129999 0 0 0.0035691 -16.82
2139999 -4.7684E-7 0 0.0035935 -17.313
2149999 0 0 0.0035811 -16.82
2159999 0 0 0.0036435 -19.242
2169999 -4.7684E-7 0 0.0035539 -18.93
2179999 0 0 0.0036235 -18.539
2189999 -4.7684E-7 0 0.0036502 -19.469
2199998.9 0 0 0.0036092 -18.625
2209998.9 0 0 0.0036612 -19.555
2219998.9 0 0 0.0036836 -19.883
2229998.9 0 0 0.0037031 -19.735
2239998.9 0 0 0.0037317 -19.461
2249998.9 0 0 0.0037747 -19.711
2259998.8 0 0 0.0037866 -20.289
2269998.8 0 0 0.0036645 -21.172
2279998.8 0 0 0.0037389 -20.844
2289998.8 -4.7684E-7 0 0.003705 -21.274
2299998.8 -4.7684E-7 0 0.0038276 -21.211
2309998.8 0 0 0.0038948 -21.445
2319998.8 0 0 0.0039258 -22.406
2329998.7 0 0 0.0039015 -23.086
2339998.7 0 0 0.0038662 -23.055
2349998.7 0 0 0.0038538 -22.945
2359998.7 0 0 0.0038142 -22.813
2369998.7 0 0 0.0037794 -23.133
2379998.7 0 0 0.0038357 -22.758
2389998.7 -4.7684E-7 0 0.0038986 -23.289
2399998.6 0 0 0.0038476 -22.11
2409998.6 -4.7684E-7 0 0.0037818 -23.102
2419998.6 -4.7684E-7 0 0.0035835 -21.695
2429998.6 -4.7684E-7 0 0.0035076 -21.344
2439998.6 -4.7684E-7 0 0.0036926 -20.664
2449998.6 0 0 0.0036721 -22.555
2459998.5 0 0 0.0036502 -20.977
2469998.5 0 0 0.0036049 -20.445
2479998.5 0 0 0.0037155 -21.797
2489998.5 -4.7684E-7 0 0.0034886 -24.93
2499998.5 0 0 0.0031815 -20.711
2509998.5 0 0 0.0032878 -19.672
2519998.5 -4.7684E-7 0 0.0032778 -18.649
2529998.4 0 0 0.0033412 -19.031
2539998.4 0 0 0.0034266 -17.563
2549998.4 0 0 0.0036168 -19.539
2559998.4 -4.7684E-7 0 0.0036483 -19.938
2569998.4 -4.7684E-7 0 0.0036202 -20.305
2579998.4 0 0 0.0035949 -20.258
2589998.3 0 0 0.0035 -21.313
2599998.3 0 0 0.0035677 -18.133
2609998.3 0 0 0.0037317 -19.633
2619998.3 0 0 0.0037799 -20.844
2629998.3 0 0 0.0038181 -20.766
2639998.3 0 0 0.0037852 -20.047
2649998.3 0 0 0.0037246 -19.938
2659998.2 0 0 0.0036669 -19.672
1500000 -4.7684E-7 0 0.0033999 -12.203
1510000 -4.7684E-7 0 0.0033903 -11.953
1520000 -4.7684E-7 0 0.0033732 -11.547
1530000 -4.7684E-7 0 0.0032244 -9.7188
1539999.9 -4.7684E-7 0 0.0032978 -10.399
1549999.9 -4.7684E-7 0 0.0032039 -11.141
1559999.9 -4.7684E-7 0 0.00318 -10.891
1569999.9 -4.7684E-7 0 0.0032168 -12.219
1579999.9 -4.7684E-7 0 0.0032931 -10.938
1589999.9 0 0 0.0034175 -11.875
1599999.9 0 0 0.0034189 -11.945
1609999.8 0 0 0.0033436 -11.711
1619999.8 0 0 0.0032778 -12.219
1629999.8 0 0 0.0032997 -13.055
1639999.8 0 0 0.0033202 -12.461
1649999.8 0 0 0.0032239 -15.367
1659999.8 0 0 0.0030832 -13.117
1669999.8 0 0 0.0033264 -10.883
1679999.7 0 0 0.0033055 -12.984
1689999.7 -4.7684E-7 0 0.0033961 -11.047
1699999.7 -4.7684E-7 0 0.0034442 -14.508
1709999.7 0 0 0.0033808 -13.766
1719999.7 0 0 0.0034285 -14.156
1729999.7 0 0 0.0034085 -13.789
1739999.6 -4.7684E-7 0 0.0033827 -13.414
1749999.6 -4.7684E-7 0 0.0033884 -13.602
1759999.6 0 0 0.0034361 -13.633
1769999.6 0 0 0.0035062 -13.781
1779999.6 -4.7684E-7 0 0.0035062 -14.203
1789999.6 -4.7684E-7 0 0.0034642 -14.406
1799999.6 0 0 0.003438 -14.305
1809999.5 0 0 0.0033426 -13.531
1819999.5 0 0 0.0033927 -14.469
1829999.5 0 0 0.0033713 -14.703
1839999.5 -4.7684E-7 0 0.0032077 -14.742
1849999.5 -4.7684E-7 0 0.0033856 -13.047
1859999.5 0 0 0.0034533 -15.969
1869999.4 0 0 0.0035639 -13.555
1879999.4 0 -4.7684E-7 0.0038858 -14.539
1889999.4 0 0 0.0037756 -19.11
1899999.4 0 0 0.0034938 -15.938
1909999.4 -4.7684E-7 0 0.0036564 -15.422
1919999.4 0 0 0.0036497 -15.742
1929999.4 0 0 0.0035539 -15.578
1939999.3 0 0 0.0034609 -16.43
1949999.3 0 0 0.0035076 -14.227
1959999.3 0 0 0.0037704 -17.594
1969999.3 0 0 0.0037003 -21.797
1979999.3 -4.7684E-7 0 0.0034275 -18.539
1989999.3 -4.7684E-7 0 0.0035572 -17.016
1999999.2 0 0 0.0034609 -16.781
2009999.2 0 0 0.0036431 -13.469
2019999.2 0 0 0.0037728 -15.055
2029999.2 -4.7684E-7 0 0.0037399 -16.266
2039999.2 0 0 0.0037279 -17.703
2049999.2 0 0 0.0035758 -17.883
2059999.2 0 0 0.0035963 -17.305
2069999.1 0 0 0.0035749 -17.156
2079999.1 -4.7684E-7 0 0.0036016 -17.492
2089999.1 -4.7684E-7 0 0.0036636 -17.789
2099999.1 -4.7684E-7 0 0.0036578 -17.977
2109999.1 -4.7684E-7 0 0.0036016 -18.289
2119999.1 0 0 0.0036516 -17.914
2129999 0 0 0.0035663 -18.18
2139999 0 0 0.0035153 -17.906
2149999 0 0 0.0035701 -18.961
2159999 -4.7684E-7 0 0.0033884 -18.953
2169999 -4.7684E-7 0 0.0035639 -16.617
2179999 0 0 0.0036974 -17.797
2189999 -4.7684E-7 0 0.0037656 -18.57
2199998.9 0 0 0.0037265 -18.875
2209998.9 0 0 0.0037303 -19.516
2219998.9 0 0 0.0036998 -19.383
2229998.9 0 0 0.0036879 -19.625
2239998.9 0 0 0.0037055 -20.195
2249998.9 0 0 0.0037999 -21.258
2259998.8 0 0 0.0039535 -21.789
2269998.8 -4.7684E-7 0 0.0039397 -21.07
2279998.8 0 0 0.0039111 -21.36
2289998.8 0 0 0.0038858 -20.781
2299998.8 0 0 0.0037999 -21.172
2309998.8 -4.7684E-7 0 0.0037999 -21.367
2319998.8 0 0 0.0038295 -21.367
2329998.7 0 0 0.0038576 -21.711
2339998.7 0 0 0.0038367 -22.422
2349998.7 0 0 0.0038319 -22.992
2359998.7 0 0 0.0038395 -22.992
2369998.7 0 0 0.0038028 -22.813
2379998.7 0 0 0.0037961 -22.219
2389998.7 0 0 0.0036988 -20.985
2399998.6 0 0 0.0037484 -21.774
2409998.6 -4.7684E-7 0 0.0035625 -21.75
2419998.6 -4.7684E-7 0 0.0036359 -17.172
2429998.6 -4.7684E-7 0 0.0039935 -16.867
2439998.6 -4.7684E-7 0 0.0039749 -21.36
2449998.6 0 0 0.0037351 -21.461
2459998.5 0 0 0.0035639 -20.039
2469998.5 0 0 0.0036988 -19.938
