Delay X Y X Y
-2667000 0 0 9.9183E-5 0.00012207
-2647000 0 0 0.00012207 9.9183E-5
-2627000 0 0 0.00017548 5.3406E-5
-2607000.1 0 0 0.00022125 0
-2587000.1 0 0 0.00014496 8.3924E-5
-2567000.1 0 0 0.00017548 9.9183E-5
-2547000.2 0 0 0.00018311 8.3924E-5
-2527000.2 0 0 0.00015259 5.3406E-5
-2507000.2 0 0 0.00013733 7.6294E-5
-2487000.3 0 0 0.00014496 0.00012207
-2467000.3 0 0 8.3924E-5 0.00011444
-2447000.3 0 0 5.3406E-5 9.9183E-5
-2427000.3 0 0 8.3924E-5 9.9183E-5
-2407000.4 0 0 0.00015259 6.1036E-5
-2387000.4 0 0 0.00017548 3.0518E-5
-2367000.4 0 0 6.1036E-5 0
-2347000.5 0 0 9.9183E-5 -4.5777E-5
-2327000.5 0 0 4.5777E-5 -3.8147E-5
-2307000.5 0 0 3.8147E-5 -5.3406E-5
-2287000.6 0 0 6.1036E-5 0
-2267000.6 0 0 9.9183E-5 7.6295E-6
-2247000.6 0 0 9.9183E-5 -7.6294E-5
-2227000.7 0 0 9.9183E-5 -0.00012207
-2207000.7 0 0 0.0001297 -0.00010681
-2187000.7 0 0 0.00015259 -5.3406E-5
-2167000.7 0 0 0.00016785 -8.3924E-5
-2147000.8 0 0 0.00019837 -8.3924E-5
-2127000.8 0 0 0.000206 -3.8147E-5
-2107000.8 0 0 0.00015259 3.8147E-5
-2087000.9 0 0 0.00015259 3.0518E-5
-2067000.9 0 0 0.00015259 -1.5259E-5
-2047000.9 0 0 0.00012207 -1.5259E-5
-2027001 0 0 0.00015259 7.6295E-6
-2007001 0 0 0.00021362 0.00012207
-1987001 0 0 0.00019074 0.00015259
-1967001.1 0 0 0.00017548 0.00012207
-1947001.1 0 0 0.00019837 6.1036E-5
-1927001.1 0 0 0.00019074 9.9183E-5
-1907001.1 0 0 0.00015259 8.3924E-5
-1887001.2 0 0 0.00021362 4.5777E-5
-1867001.2 0 0 0.00022888 0
-1847001.2 0 0 0.00016022 -4.5777E-5
-1827001.3 0 0 0.00014496 -2.2888E-5
-1807001.3 0 0 0.00012207 3.8147E-5
-1787001.3 0 0 0.00014496 6.1036E-5
-1767001.4 0 0 0.00015259 1.5259E-5
-1747001.4 0 0 0.00013733 0
-1727001.4 0 0 0.000206 3.8147E-5
-1707001.4 0 0 0.00018311 4.5777E-5
-1687001.5 0 0 0.00015259 0
-1667001.5 0 0 0.00016022 1.5259E-5
-1647001.5 0 0 0.00014496 -3.0518E-5
-1627001.6 0 0 0.00014496 -5.3406E-5
-1607001.6 0 0 0.00016785 0
-1587001.6 0 0 0.00015259 3.8147E-5
-1567001.7 0 0 0.00015259 5.3406E-5
-1547001.7 0 0 0.00018311 3.0518E-5
-1527001.7 0 0 0.00023651 1.5259E-5
-1507001.8 0 0 0.0002594 -9.9183E-5
-1487001.8 0 0 0.00024414 -0.00011444
-1467001.8 0 0 0.00022125 7.6295E-6
-1447001.8 0 0 0.00022888 6.1036E-5
-1427001.9 0 0 0.0002594 0.00011444
-1407001.9 0 0 0.00026703 0.00015259
-1387001.9 0 0 0.00025177 4.5777E-5
-1367002 0 0 0.00027466 -7.6295E-6
-1347002 0 0 0.00030518 4.5777E-5
-1327002 0 0 0.0002594 9.1553E-5
-1307002.1 0 0 0.00018311 8.3924E-5
-1287002.1 0 0 0.00015259 6.1036E-5
-1267002.1 0 0 0.000206 0
-1247002.2 0 0 0.00023651 -2.2888E-5
-1227002.2 0 0 0.0002594 -3.8147E-5
-1207002.2 0 0 0.00028229 0
-1187002.2 0 0 0.00027466 -3.0518E-5
-1167002.3 0 0 0.0002594 0
-1147002.3 0 0 0.00028992 5.3406E-5
-1127002.3 0 0 0.00025177 0.00012207
-1107002.4 0 0 0.00027466 0.00019074
-1087002.4 0 0 0.00035095 0.00018311
-1067002.4 0 0 0.00029755 0.00013733
-1047002.5 0 0 0.00026703 6.1036E-5
-1027002.5 0 0 0.000206 0
-1007002.5 0 0 0.00021362 2.2888E-5
-987002.55 0 0 0.00023651 4.5777E-5
-967002.58 0 0 0.00025177 9.1553E-5
-947002.61 0 0 0.00026703 7.6294E-5
-927002.64 0 0 0.00028992 6.1036E-5
-907002.67 0 0 0.0003357 4.5777E-5
-887002.7 0 0 0.00039673 4.5777E-5
-867002.73 0 0 0.00030518 7.6294E-5
-847002.76 0 0 0.00023651 0.00015259
-827002.79 0 0 0.00022888 0.00018311
-807002.82 0 0 0.00019837 0.00014496
-787002.85 0 0 0.00021362 0.00010681
-767002.88 0 0 0.00023651 0.00010681
-747002.91 0 0 0.00032044 0.00012207
-727002.95 0 0 0.0003891 0.00015259
-707002.98 0 0 0.00032807 0.00021362
-687003.01 0 0 0.00028992 0.000206
-667003.04 0 0 0.0002594 0.0001297
-647003.07 0 0 0.00032044 0.00011444
-627003.1 0 0 0.00031281 5.3406E-5
-607003.13 0 0 0.0002594 8.3924E-5
-587003.16 0 0 0.0002594 0.00011444
-567003.19 0 0 0.00029755 6.8665E-5
