Delay X Y X Y
-2667000 0 0 7.6294E-5 0.00010681
-2647000 0 0 9.9183E-5 0.00012207
-2627000 0 0 9.9183E-5 0.0001297
-2607000.1 0 0 0.00011444 9.1553E-5
-2587000.1 0 0 8.3924E-5 5.3406E-5
-2567000.1 0 0 4.5777E-5 7.6294E-5
-2547000.2 0 0 3.8147E-5 7.6294E-5
-2527000.2 0 0 4.5777E-5 0.00012207
-2507000.2 0 0 4.5777E-5 0.00013733
-2487000.3 0 0 5.3406E-5 0.00014496
-2467000.3 0 0 7.6294E-5 0.0001297
-2447000.3 0 0 3.8147E-5 0.00011444
-2427000.3 0 0 6.1036E-5 0.00012207
-2407000.4 0 0 9.9183E-5 0.00011444
-2387000.4 0 0 9.9183E-5 0.00011444
-2367000.4 0 0 8.3924E-5 9.9183E-5
-2347000.5 0 0 7.6294E-5 8.3924E-5
-2327000.5 0 0 7.6294E-5 9.1553E-5
-2307000.5 0 0 7.6294E-5 9.9183E-5
-2287000.6 0 0 7.6294E-5 0.00010681
-2267000.6 0 0 8.3924E-5 8.3924E-5
-2247000.6 0 0 7.6294E-5 7.6294E-5
-2227000.7 0 0 5.3406E-5 7.6294E-5
-2207000.7 0 0 4.5777E-5 9.1553E-5
-2187000.7 0 0 9.1553E-5 0.00010681
-2167000.7 0 0 9.1553E-5 7.6294E-5
-2147000.8 0 0 8.3924E-5 9.9183E-5
-2127000.8 0 0 8.3924E-5 0.00012207
-2107000.8 0 0 8.3924E-5 0.00010681
-2087000.9 0 0 6.1036E-5 8.3924E-5
-2067000.9 0 0 4.5777E-5 9.9183E-5
-2047000.9 0 0 7.6294E-5 0.00011444
-2027001 0 0 9.1553E-5 9.9183E-5
-2007001 0 0 9.9183E-5 9.1553E-5
-1987001 0 0 8.3924E-5 9.9183E-5
-1967001.1 0 0 8.3924E-5 9.9183E-5
-1947001.1 0 0 9.9183E-5 0.00010681
-1927001.1 0 0 9.9183E-5 9.9183E-5
-1907001.1 0 0 7.6294E-5 9.9183E-5
-1887001.2 0 0 8.3924E-5 9.1553E-5
-1867001.2 0 0 6.1036E-5 9.9183E-5
-1847001.2 0 0 8.3924E-5 9.1553E-5
-1827001.3 0 0 9.1553E-5 9.1553E-5
-1807001.3 0 0 8.3924E-5 0.00014496
-1787001.3 0 0 9.1553E-5 0.0001297
-1767001.4 0 0 9.9183E-5 9.9183E-5
-1747001.4 0 0 6.1036E-5 9.1553E-5
-1727001.4 0 0 6.8665E-5 0.00012207
-1707001.4 0 0 7.6294E-5 9.9183E-5
-1687001.5 0 0 7.6294E-5 6.8665E-5
-1667001.5 0 0 8.3924E-5 5.3406E-5
-1647001.5 0 0 6.1036E-5 6.1036E-5
-1627001.6 0 0 8.3924E-5 0.00010681
-1607001.6 0 0 9.9183E-5 0.0001297
-1587001.6 0 0 7.6294E-5 0.00012207
-1567001.7 0 0 8.3924E-5 9.9183E-5
-1547001.7 0 0 9.9183E-5 9.1553E-5
